,s_no,Volume,distance,Time,Date
135597,135602,38170.0,195.43,08:00,19-10-31
135598,135603,38087.0,195.01,08:01,19-10-31
135599,135604,38087.0,195.01,08:02,19-10-31
135600,135605,38173.3,195.45,08:03,19-10-31
135601,135606,38173.3,195.45,08:04,19-10-31
135602,135607,38170.0,195.43,08:05,19-10-31
135603,135608,38170.0,195.43,08:06,19-10-31
135604,135609,38166.7,195.42,08:07,19-10-31
135605,135610,38087.0,195.01,08:08,19-10-31
135606,135611,38090.3,195.03,08:09,19-10-31
135607,135612,38166.7,195.42,08:10,19-10-31
135608,135613,38090.3,195.03,08:11,19-10-31
135609,135614,38007.3,194.6,08:12,19-10-31
135610,135615,38090.3,195.03,08:13,19-10-31
135611,135616,38087.0,195.01,08:14,19-10-31
135612,135617,38170.0,195.43,08:15,19-10-31
135613,135618,38173.3,195.45,08:16,19-10-31
135614,135619,38176.7,195.47,08:17,19-10-31
135615,135620,38097.0,195.06,08:18,19-10-31
135616,135621,38170.0,195.43,08:19,19-10-31
135617,135622,38176.7,195.47,08:20,19-10-31
135618,135623,38083.7,194.99,08:21,19-10-31
135619,135624,38093.7,195.04,08:22,19-10-31
135620,135625,38007.3,194.6,08:23,19-10-31
135621,135626,38087.0,195.01,08:24,19-10-31
135622,135627,38087.0,195.01,08:25,19-10-31
135623,135628,38176.7,195.47,08:27,19-10-31
135624,135629,38007.3,194.6,08:28,19-10-31
135625,135630,38173.3,195.45,08:29,19-10-31
135626,135631,38087.0,195.01,08:30,19-10-31
135627,135632,38173.3,195.45,08:31,19-10-31
135628,135633,38090.3,195.03,08:32,19-10-31
135629,135634,38007.3,194.6,08:33,19-10-31
135630,135635,38087.0,195.01,08:34,19-10-31
135631,135636,38176.7,195.47,08:35,19-10-31
135632,135637,38010.6,194.62,08:36,19-10-31
135633,135638,38259.7,195.89,08:37,19-10-31
135634,135639,38173.3,195.45,08:38,19-10-31
135635,135640,38173.3,195.45,08:39,19-10-31
135636,135641,38173.3,195.45,08:40,19-10-31
135637,135642,38173.3,195.45,08:41,19-10-31
135638,135643,38093.7,195.04,08:42,19-10-31
135639,135644,38595.0,197.61,08:44,19-10-31
135640,135645,38090.3,195.03,08:45,19-10-31
135641,135646,38170.0,195.43,08:46,19-10-31
135642,135647,38173.3,195.45,08:47,19-10-31
135643,135648,38173.3,195.45,08:48,19-10-31
135644,135649,38170.0,195.43,08:49,19-10-31
135645,135650,38176.7,195.47,08:50,19-10-31
135646,135651,38173.3,195.45,08:51,19-10-31
135647,135652,38173.3,195.45,08:52,19-10-31
135648,135653,38173.3,195.45,08:53,19-10-31
135649,135654,38176.7,195.47,08:54,19-10-31
135650,135655,38173.3,195.45,08:55,19-10-31
135651,135656,38173.3,195.45,08:56,19-10-31
135652,135657,38176.7,195.47,08:57,19-10-31
135653,135658,38173.3,195.45,08:58,19-10-31
135654,135659,38173.3,195.45,08:59,19-10-31
135655,135660,38173.3,195.45,09:00,19-10-31
